row_in_metadata,identifier,succeeded,message
102,swva_fchs_2013.062.009,False,Error Row 102: manifest.json not found for Archive swva_fchs_2013.062.009 in s3 bucket. Succeeded: False
103,swva_fchs_2013.062.010,False,Error Row 103: manifest.json not found for Archive swva_fchs_2013.062.010 in s3 bucket. Succeeded: False
104,swva_fchs_2013.062.011,False,Error Row 104: manifest.json not found for Archive swva_fchs_2013.062.011 in s3 bucket. Succeeded: False
105,swva_fchs_2013.062.012,False,Error Row 105: manifest.json not found for Archive swva_fchs_2013.062.012 in s3 bucket. Succeeded: False
106,swva_fchs_2014.015.001,False,Error Row 106: manifest.json not found for Archive swva_fchs_2014.015.001 in s3 bucket. Succeeded: False
107,swva_fchs_2014.015.002,False,Error Row 107: manifest.json not found for Archive swva_fchs_2014.015.002 in s3 bucket. Succeeded: False
108,swva_fchs_2014.017.001,False,Error Row 108: manifest.json not found for Archive swva_fchs_2014.017.001 in s3 bucket. Succeeded: False
109,swva_fchs_2014.017.002,False,Error Row 109: manifest.json not found for Archive swva_fchs_2014.017.002 in s3 bucket. Succeeded: False
110,swva_fchs_2014.017.003,False,Error Row 110: manifest.json not found for Archive swva_fchs_2014.017.003 in s3 bucket. Succeeded: False
111,swva_fchs_2014.017.004,False,Error Row 111: manifest.json not found for Archive swva_fchs_2014.017.004 in s3 bucket. Succeeded: False
112,swva_fchs_2014.020.001,True,Row 112: swva_fchs_2014.020.001 has been successfully imported. Succeeded: True
113,swva_fchs_2014.021.001,True,Row 113: swva_fchs_2014.021.001 has been successfully imported. Succeeded: True
114,swva_fchs_2014.026.002,True,Row 114: swva_fchs_2014.026.002 has been successfully imported. Succeeded: True
115,swva_fchs_2014.034.078,False,Error Row 115: manifest.json not found for Archive swva_fchs_2014.034.078 in s3 bucket. Succeeded: False
116,swva_fchs_2015.005.001,True,Row 116: swva_fchs_2015.005.001 has been successfully imported. Succeeded: True
117,swva_fchs_2015.027.001,False,Error Row 117: manifest.json not found for Archive swva_fchs_2015.027.001 in s3 bucket. Succeeded: False
118,swva_fchs_2016.001.005,True,Row 118: swva_fchs_2016.001.005 has been successfully imported. Succeeded: True
119,swva_fchs_2016.001.013,True,Row 119: swva_fchs_2016.001.013 has been successfully imported. Succeeded: True
120,swva_fchs_2016.001.016,True,Row 120: swva_fchs_2016.001.016 has been successfully imported. Succeeded: True
