identifier,basis_of_record,other_identifier,MS_identifier,title,contributor,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,visibility,type,format
VTEC000007771,PreservedSpecimen,Occurrence ID: 2ee248a6-3e3e-47d4-81cc-5b41106422a5,624909,"Vanessa braziliensis ((Moore, 1883))",,11/2/1937,11/2/1937,11/2/1937,lifeStage: Adult||preparations: pinned specimen,"""Rockbridge, Virginia, United States""",Lex. [Lexington],37.784021 || -79.442816,37.784021,-79.442816,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:2ee248a6-3e3e-47d4-81cc-5b41106422a5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57383254,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007774,PreservedSpecimen,Occurrence ID: 776b8807-8b39-4b26-bab3-3a5a111b68c2,624910,"Agraulis vanillae ((Linnaeus, 1758))",,2/23/1965,2/23/1965,2/23/1965,lifeStage: Adult||preparations: pinned specimen,"""Monroe, Florida, United States""",0,25.567079 || -81.125285,25.567079,-81.125285,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:776b8807-8b39-4b26-bab3-3a5a111b68c2,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57383565,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007781,PreservedSpecimen,Occurrence ID: a7a17467-3417-4d6e-b942-986de21fa15c,624911,"Euptoieta claudia ((Cramer, 1775))",CA Pague (recorded by),8/30/1987,8/30/1987,8/30/1987,lifeStage: Adult||preparations: pinned specimen,"""Suffolk, Virginia, United States""",Cypress Swamp,36.728149 || -76.583585,36.728149,-76.583585,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:a7a17467-3417-4d6e-b942-986de21fa15c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57383686,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007785,PreservedSpecimen,Occurrence ID: 0817ddcb-935d-4082-a71d-f138e8ddc145,624912,"Nymphalis antiopa ((Linnaeus, 1758))",E. L. Quinter (recorded by),6/16/1968,6/16/1968,6/16/1968,habitat: Larvae in Salix discolor (american pussy willow)||lifeStage: Adult||preparations: pinned specimen,"""Auburn, Schuylkill, Pennsylvania, United States""",Auburn,40.598425 || -76.093272,40.598425,-76.093272,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:0817ddcb-935d-4082-a71d-f138e8ddc145,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57384121,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007794,PreservedSpecimen,Occurrence ID: b5e24703-e09f-4073-8464-c481a9f995be,624914,"Euphydryas phaeton ((Drury, 1773))",H. LaBeau (recorded by),7/28/1971,7/28/1971,7/28/1971,lifeStage: Adult||preparations: pinned specimen,"""Berkshire, Massachusetts, United States""",N. Adams,42.62425 || -73.117603,42.62425,-73.117603,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:b5e24703-e09f-4073-8464-c481a9f995be,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57386409,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007813,PreservedSpecimen,Occurrence ID: ac268ed5-f6bb-419a-843d-ba2a31ffbad7,624916,"Junonia coenia ((Hübner, 1822))",Hamid (recorded by),8/7/1986,8/7/1986,8/7/1986,lifeStage: Adult||preparations: pinned specimen,"""Nottoway, Virginia, United States""",0,37.143063 || -78.051264,37.143063,-78.051264,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:ac268ed5-f6bb-419a-843d-ba2a31ffbad7,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57389287,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007827,PreservedSpecimen,Occurrence ID: d4187b1d-8cbd-442b-a7aa-5bea04a410d3,627745,Cynthia cardui (Linnaeus 1758),ANG B.N. (recorded by),10/7/1988,10/7/1988,10/7/1988,habitat: Larva feeding on thistles||lifeStage: Adult||preparations: pinned specimen,"""Montgomery, Virginia, United States""",0,37.15652 || -80.318935,37.15652,-80.318935,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:d4187b1d-8cbd-442b-a7aa-5bea04a410d3,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57389550,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007829,PreservedSpecimen,Occurrence ID: b96e2fd0-f4fc-4607-8480-b86cf689fe11,627747,Limenitidinae,,8/4/1958,8/4/1958,8/4/1958,lifeStage: Adult||preparations: pinned specimen,"""Boulder, Colorado, United States""",Nederland,39.96139 || -105.51028,39.96139,-105.51028,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:b96e2fd0-f4fc-4607-8480-b86cf689fe11,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57389752,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007839,PreservedSpecimen,Occurrence ID: 74b862d1-bac0-40e5-8ed2-5f47155b6ee4,627748,Limenitis arthemis ((Drury)),P. K. Powell (recorded by),6/4/1976,6/4/1976,6/4/1976,lifeStage: Adult||preparations: pinned specimen,"""Alleghany, Virginia, United States""","Rumsey's Draft, 7 miles SW of Covington",37.721655 || -80.084767,37.721655,-80.084767,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:74b862d1-bac0-40e5-8ed2-5f47155b6ee4,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57390040,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000007649,PreservedSpecimen,Occurrence ID: 14db4443-53a8-4fd8-bd00-e166aacebe3c,627749,Actinote,M. Kosztarab (recorded by),2/19/1970,2/19/1970,2/19/1970,lifeStage: Adult||preparations: pinned specimen,"""Puntarenas, Costa Rica""",Las Cruces; 8.790977 -82.955516,8.790977 || -82.955516,8.790977,-82.955516,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:14db4443-53a8-4fd8-bd00-e166aacebe3c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57363278,TRUE,three dimensional object||still image,model/x3d || image/tiff
VTEC000004880,PreservedSpecimen,Occurrence ID: ccb36245-dc26-4daa-bd9b-4643ea481150,627750,"Megacyllene robiniae ((Forster, 1771))",Barry Lee Bressler (recorded by),9/1/1980,9/1/1980,9/1/1980,lifeStage: Adult||preparations: pinned specimen,"""Stafford, Virginia, United States""",0,38.414949 || -77.451546,38.414949,-77.451546,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:ccb36245-dc26-4daa-bd9b-4643ea481150,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49391752,TRUE,three dimensional object||still image,model/x3d || image/tiff
