identifier,basis_of_record,occurrence_ID,other_identifier,MS_identifier,title,contributor,recordedBy,date,display_date,start_date,description,spatial,locality,location,decimalLatitude,decimalLongitude,repository,license,rights_holder,recordId,references,georeferencedBy,identifiedBy,type,format,visibility
VTEC000007660,PreservedSpecimen,Occurrence ID: 97561008-5405-41bb-8af1-e8996898294a,Occurrence ID: 97561008-5405-41bb-8af1-e8996898294a||Record ID: 97561008-5405-41bb-8af1-e8996898294a,624895,Actinote,Tom Lockwood (recorded by)||M. E. Hellier (georeferenced by),Tom Lockwood (recorded by),1968-11-16,1968-11-16,1968/11/16,lifeStage: Adult||preparations: pinned specimen,"""Caquetá, Colombia""",Florencia,1.614382 || -75.606229,1.614382,-75.606229,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,97561008-5405-41bb-8af1-e8996898294a,https://ecdysis.org/collections/individual/index.php?occid=1732596,M. E. Hellier (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007664,PreservedSpecimen,Occurrence ID: b4b60dd7-4a72-4930-95e2-e7c4795b9f18,Occurrence ID: b4b60dd7-4a72-4930-95e2-e7c4795b9f18||Record ID: b4b60dd7-4a72-4930-95e2-e7c4795b9f18,624896,Vindula erota,H. P. Dunleavy (georeferenced by),,,,,lifeStage: Adult||sex: Female||preparations: pinned specimen,"""Kerala, India""","Cannanore, Malabar",11.825189 || 75.416427,11.825189,75.416427,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,b4b60dd7-4a72-4930-95e2-e7c4795b9f18,https://ecdysis.org/collections/individual/index.php?occid=1732600,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007670,PreservedSpecimen,Occurrence ID: 7868ab6a-ca20-4537-9228-4d61725f2303,Occurrence ID: 7868ab6a-ca20-4537-9228-4d61725f2303||Record ID: 7868ab6a-ca20-4537-9228-4d61725f2303,624897,Anartia,C. V. Covell (recorded by)||H. P. Dunleavy (georeferenced by),C. V. Covell (recorded by),1963-03-24,1963-03-24,1963/03/24,lifeStage: Adult||preparations: pinned specimen,"""Miami-Dade, Florida, United States""","Rt. 1, S. of Florida City",25.416491 || -80.472032,25.416491,-80.472032,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,7868ab6a-ca20-4537-9228-4d61725f2303,https://ecdysis.org/collections/individual/index.php?occid=1732607,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007675,PreservedSpecimen,Occurrence ID: 36edaca6-eeb7-4381-8899-834bee4c34f6,Occurrence ID: 36edaca6-eeb7-4381-8899-834bee4c34f6||Record ID: 36edaca6-eeb7-4381-8899-834bee4c34f6,624899,"Euptoieta claudia (Cramer, 1775)",C. V. Covell (recorded by)||H. P. Dunleavy (georeferenced by),C. V. Covell (recorded by),1955-07-01,1955-07-01,1955/07/01,lifeStage: Adult||preparations: pinned specimen,"""Suffolk, Virginia, United States""",Holland,36.681262 || -76.780236,36.681262,-76.780236,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,36edaca6-eeb7-4381-8899-834bee4c34f6,https://ecdysis.org/collections/individual/index.php?occid=1732612,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007721,PreservedSpecimen,Occurrence ID: 57b6d184-6892-4de1-a5de-78fd8cb7f64b,Occurrence ID: 57b6d184-6892-4de1-a5de-78fd8cb7f64b||Record ID: 57b6d184-6892-4de1-a5de-78fd8cb7f64b,624900,"Limenitis lorquini (Boisduval, 1852)",H. P. Dunleavy (georeferenced by),,1939-04-28,1939-04-28,1939/04/28,lifeStage: Adult||preparations: pinned specimen,"""Sacramento, California, United States""",Sacramento,38.58167 || -121.49333,38.58167,-121.49333,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,57b6d184-6892-4de1-a5de-78fd8cb7f64b,https://ecdysis.org/collections/individual/index.php?occid=1732655,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007723,PreservedSpecimen,Occurrence ID: 3914963f-6192-4503-b4cf-88f86cdb0659,Occurrence ID: 3914963f-6192-4503-b4cf-88f86cdb0659||Record ID: 3914963f-6192-4503-b4cf-88f86cdb0659,624901,Limenitis arthemis (Drury),H. P. Dunleavy (georeferenced by),,1974-08-15,1974-08-15,1974/08/15,lifeStage: Adult||preparations: pinned specimen,"""Province of Manitoba, Canada""",Nr. Falcon Lake,49.7 || -95.25,49.7,-95.25,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,3914963f-6192-4503-b4cf-88f86cdb0659,https://ecdysis.org/collections/individual/index.php?occid=1732657,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007725,PreservedSpecimen,Occurrence ID: 682b88cb-257a-427a-a3d5-6f6227994487,Occurrence ID: 682b88cb-257a-427a-a3d5-6f6227994487||Record ID: 682b88cb-257a-427a-a3d5-6f6227994487,624902,Nymphalidae,,,,,,lifeStage: Adult||preparations: pinned specimen,,,,,,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,682b88cb-257a-427a-a3d5-6f6227994487,https://ecdysis.org/collections/individual/index.php?occid=1732659,,,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007727,PreservedSpecimen,Occurrence ID: 44715edd-fa78-4710-993a-3d0cb7aee50c,Occurrence ID: 44715edd-fa78-4710-993a-3d0cb7aee50c||Record ID: 44715edd-fa78-4710-993a-3d0cb7aee50c,624903,Nymphalidae,H. P. Dunleavy (georeferenced by),,,,,lifeStage: Adult||preparations: pinned specimen,"""Sumatra, Indonesia""",Fort de Kock,-0.300361 || 100.367343,-0.300361,100.367343,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,44715edd-fa78-4710-993a-3d0cb7aee50c,https://ecdysis.org/collections/individual/index.php?occid=1732661,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007733,PreservedSpecimen,Occurrence ID: 67b32764-df93-4d33-aa75-1590953f4574,Occurrence ID: 67b32764-df93-4d33-aa75-1590953f4574||Record ID: 67b32764-df93-4d33-aa75-1590953f4574,624904,Acraea neobule,H. P. Dunleavy (georeferenced by),,,,,lifeStage: Adult||preparations: pinned specimen,"""Democratic Republic of the Congo""",,-2.788531 || 23.489258,-2.788531,23.489258,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,67b32764-df93-4d33-aa75-1590953f4574,https://ecdysis.org/collections/individual/index.php?occid=1732666,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007735,PreservedSpecimen,Occurrence ID: 044d2117-cb68-47b8-a4c9-75eb04752102,Occurrence ID: 044d2117-cb68-47b8-a4c9-75eb04752102||Record ID: 044d2117-cb68-47b8-a4c9-75eb04752102,624905,Acraea egina,H. P. Dunleavy (georeferenced by),,,,,lifeStage: Adult||sex: Male||preparations: pinned specimen,"""Sierra Leone""",,8.5 || -11.5,8.5,-11.5,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,044d2117-cb68-47b8-a4c9-75eb04752102,https://ecdysis.org/collections/individual/index.php?occid=1732668,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007737,PreservedSpecimen,Occurrence ID: b485fb2d-0a33-4d64-b816-d7c6ae650cd7,Occurrence ID: b485fb2d-0a33-4d64-b816-d7c6ae650cd7||Record ID: b485fb2d-0a33-4d64-b816-d7c6ae650cd7,624906,Salamis cacta,A. Gallay (recorded by)||H. P. Dunleavy (georeferenced by),A. Gallay (recorded by),1966-04,1966-04,1966/04,lifeStage: Adult||preparations: pinned specimen,"""Cote D'Ivoire""",Abidjan,5.365718 || -4.016776,5.365718,-4.016776,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,b485fb2d-0a33-4d64-b816-d7c6ae650cd7,https://ecdysis.org/collections/individual/index.php?occid=1732670,H. P. Dunleavy (georeferenced by),,three dimensional object||still image,model/x3d || image/tiff,TRUE
VTEC000007739,PreservedSpecimen,Occurrence ID: 0dd42ee4-096d-4284-a05e-d991b7ef8b89,Occurrence ID: 0dd42ee4-096d-4284-a05e-d991b7ef8b89||Record ID: 0dd42ee4-096d-4284-a05e-d991b7ef8b89,624907,Nymphalidae,,,,,,lifeStage: Adult||preparations: pinned specimen,,,,,,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,0dd42ee4-096d-4284-a05e-d991b7ef8b89,https://ecdysis.org/collections/individual/index.php?occid=1732673,,,three dimensional object||still image,model/x3d || image/tiff,TRUE
