identifier,title,description,language,creator,created,display_date,date,start_date,end_date,subject,type,medium,extent,spatial,collection,repository,rights,visibility
sfdst007107,"Virginia Fireman, Vol. 14, No. 4, July-August 1969",1969 Newspaper/Newsletter Virginia Fireman VA State Firemen's Association,en,,1969/07||1969/08,1969-07/1969-08,1969-07||1969-08,1969-07,1969-08,Fire departments|| Virginia,Text,newspapers,24 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007108,"Virginia Fireman, Vol. 20, No. 1, January-February 1975",1975 Newspaper/Newsletter Virginia Fireman VA State Firemen's Association,en,,1975/01||1975/02,1975-01/1975-02,1975-01||1975-02,1975-01,1975-02,Fire departments|| Virginia,Text,newspapers,8 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007109,"VA Association of Fire Chiefs Convention Proceedings, October 21-22, 1946","Proceedings of the Sixteenth Annual Convention of the Virginia Association of Fire Chiefs, Held at Roanoke, Virginia, October 21-22, 1946",en,,1946/10/21||1946/10/22,1946-10-21/1946-10-22,1946-10-21||1946-10-22,1946-10-21,1946-10-22,Fire departments|| Virginia,Text,conference proceedings,28 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007110,"VA Association of Fire Chiefs Memorandums Regarding Meetings, Dues, and the Annual Convention, June 23, 1953 - July 28, 1953","Memorandums written on June 23, 1953, concerning the VA Association of Fire Chiefs' 23rd annual convention about meetings with the fire chiefs and paying dues, with an included copy of the tentative program of this convention.",en,,1953/06/23||1953/07/28,1953-06-23/1953-07-28,1953-06-23||1953-07-28,1953-06-23,1953-07-28,Fire departments|| Virginia,Text,memorandums,4 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007111,"VA Association of Fire Chiefs Memorandums Regarding Convention Reservations and Advertising, September 22, 1953 - January 6, 1954","Memorandums written on January 6, 1954, concerning the VA Association of Fire Chiefs' convention to be held in Danville, as well as gathering advertisement opportunities to help fund these conventions.",en,,1953/09/22||1954/01/06,1953-09-22/1954-01-06,1953-09-22||1954-01-06,1953-09-22,1954-01-06,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007112,"VA Association of Fire Chiefs Memorandum Regarding the Annual Convention and Fire College, May 26, 1954","Memorandum written on May 26, 1954, concerning the VA Association of Fire Chiefs' annual convention being held in Danville, as well as the annual State Fire College that would be held in Norfolk.",en,,1954/05/26,1954-05-26,1954-05-26,1954-05-26,,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007113,"VA Association of Fire Chiefs Memorandum Regarding Panel Membership, June 3, 1954","Memorandum written on June 3, 1954, concerning the VA Association of Fire Chiefs’ convention, requesting a group of men to be panelists at the convention.",en,,1954/06/03,1954-06-03,1954-06-03,1954-06-03,,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007114,"VA Association of Fire Chiefs Memorandums Regarding An Invitation to the Convention and Parade Logistics, June 10, 1954","Memorandum written on June 10, 1954, concerning the VA Association of Fire Chiefs’ convention, where the memo is the formal invitation to the convention to be held in Danville, and the second image is concerned with the parade being held in July, and asking for information should the recipient desire to attend.",en,,1954/06/10,1954-06-10,1954-06-10,1954-06-10,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007115,"VA Association of Fire Chiefs Tentative Convention Program And Memorandums Concerning the Convention, July 19, 1954","Memorandums written on July 19, 1954, concerning the VA Association of Fire Chiefs' 24th annual convention, with the first one including an enclosed program and the second one regarding committee nominations.",en,,1954/07/19,1954-07-19,1954-07-19,1954-07-19,,Fire departments|| Virginia,Text,memorandums,5 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007116,"VA Association of Fire Chiefs Marked Tentative Convention Program, July 21, 1954","Memorandum written on July 21, 1954, to participants of the convention run by the VA Association of Fire Chiefs which denoted their assignments for the event.",en,,1954/07/21,1954-07-21,1954-07-21,1954-07-21,,Fire departments|| Virginia,Text,memorandums,4 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007117,"VA Association of Fire Chiefs Memorandum Regarding the Annual Convention and Committee Appointments, January 25, 1955","Memorandum written on January 25, 1955, concerning the VA Association of Fire Chiefs' 1955 convention's location, as well as an attached list of the committees appointed for that year.",en,,1955/01/25,1955-01-25,1955-01-25,1955-01-25,,Fire departments|| Virginia,Text,memorandums,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007118,"VA Association of Fire Chiefs Convention Invitation Memorandum and Dues Payment Request, August 1, 1955","Memorandum written on August 1, 1955, concerning the VA Association of Fire Chiefs' 25th annual convention to be held in Staunton, Virginia, as well as committee member meetings and the need to pay dues.",en,,1955/08/01,1955-08-01,1955-08-01,1955-08-01,,Fire departments|| Virginia,Text,memorandums,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007119,"Annual Report for the year ending June 30, 1982, Salem, Virginia","Annual Report of Salem Virginia's topics of interest, such as education, fire training and education, etc., written for the year ending in June 30, 1982.",en,,1982/06/30,1982-06-30,1982-06-30,1982-06-30,,Fire departments|| Virginia,Text,annual reports,28 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007120,"Annual Report for the year ending June 30, 1983, Salem, Virginia","Annual Report of Salem Virginia's topics of interest, such as education, fire training and education, etc., written for the year ending in June 30, 1983.",en,,1983/06/30,1983-06-30,1983-06-30,1983-06-30,,Fire departments|| Virginia,Text,annual reports,32 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007121,"Annual Report for the year ending June 30, 1984, Salem, Virginia","Annual Report of Salem Virginia's topics of interest, such as education, fire training and education, etc., written for the year ending in June 30, 1984.",en,,1984/06/30,1984-06-30,1984-06-30,1984-06-30,,Fire departments|| Virginia,Text,annual reports,28 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007122,"Annual Report for the year ending June 30, 1985, Salem, Virginia","Annual Report of Salem Virginia's topics of interest, such as education, fire training and education, etc., written for the year ending in June 30, 1985.",en,,1985/06/30,1985-06-30,1985-06-30,1985-06-30,,Fire departments|| Virginia,Text,annual reports,32 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007123,"Annual Report for the year ending June 30, 1986, Salem, Virginia","Annual Report of Salem Virginia's topics of interest, such as education, fire training and education, etc., written for the year ending in June 30, 1986.",en,,1986/06/30,1986-06-30,1986-06-30,1986-06-30,,Fire departments|| Virginia,Text,annual reports,44 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007124,"Annual Report for the year ending June 30, 1987, Salem, Virginia","Annual Report of Salem Virginia's topics of interest, such as education, fire training and education, etc., written for the year ending in June 30, 1987.",en,,1987/06/30,1987-06-30,1987-06-30,1987-06-30,,Fire departments|| Virginia,Text,annual reports,36 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007125,"Annual Report for the year ending June 30, 1989, Salem, Virginia","Annual Report of Salem Virginia's topics of interest, such as education, fire training and education, etc., written for the year ending in June 30, 1989.",en,,1989/06/30,1989-06-30,1989-06-30,1989-06-30,,Fire departments|| Virginia,Text,annual reports,40 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007126,"Handbook for Auxiliary Firemen, United States Office of Civilian Defense, c. 1941","Handbook for auxiliary firemen written by the Office of Civilian Defense in Washington, D.C. to aid in their training.",en,,1941/12,1941-12,1941-12,1941-12,,Fire departments|| Virginia,Text,handbooks,98 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007127,Report of the Committee on Fire Fighting Services of The President's Conference on Fire Prevention,Federal Report of the Committee on Fire Fighting Services from the President's Conference on Fire Prevention.,en,,,,,,,Fire departments|| Virginia,Text,official reports,57 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007128,Report of the Committee on Fire Fighting Services of The President's Conference on Fire Prevention,Federal Report of the Committee on Fire Fighting Services from the President's Conference on Fire Prevention.,en,,,,,,,Fire departments|| Virginia,Text,official reports,58 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007129,"President's Conference on Fire Prevention, Report of the Committee on Laws and Law Enforcement, Dated From May 6, 1947 to May 8, 1947","Report of the Committee on Laws and Law Enforcement during the President's Conference on Fire Prevention, held from may 6th-8th, 1947",en,,1947/05/06||1947/05/08,1947-05-06/1947-05-08,1947-05-06||1947-05-08,1947-05-06,1947-05-08,Fire departments|| Virginia,Text,official reports,84 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007130,"Administrative Responsibility in the Schools with Respect to Fire Safety, May 1947",Report to the President's Conference on Fire Prevention by the Sub-Committee on Administrative Responsibility about the administrative responsibility in the schools with respect to fire safety.,en,,1947/05,1947-05,1947-05,1947-05,,Fire departments|| Virginia,Text,official reports,20 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007131,"Program, The President's Conference on Fire Prevention, Washington D.C., May 6-8, 1947","Program for the President's Conference on Fire Prevention, held from May 6, 1947 to May 8, 1947.",en,,1947/05/06||1947/05/08,1947-05-06/1947-05-08,1947-05-06||1947-05-08,1947-05-06,1947-05-08,Fire departments|| Virginia,Text,programs (documents),12 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007132,"President's Conference on Fire Prevention, Report of the Committee on Building Construction, Operation, and Protection, Dated From May 6, 1947 to May 8, 1947","Report of the Committee on Building Construction, Operation, and Protection during the President's Conference on Fire Prevention, held from May 6, 1947 to May 8, 1947.",en,,1947/05/06||1947/05/08,1947-05-06/1947-05-08,1947-05-06||1947-05-08,1947-05-06,1947-05-09,Fire departments|| Virginia,Text,official reports,154 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007133,"President's Conference on Fire Prevention, Action Program, Dated From May 6, 1947 to May 8, 1947","Action Program from the President's Conference on Fire Prevention, held from May 6, 1947 to May 8, 1947.",en,,1947/05/06||1947/05/08,1947-05-06/1947-05-08,1947-05-06||1947-05-08,1947-05-06,1947-05-10,Fire departments|| Virginia,Text,programs (documents),18 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007134,"Breathing Apparatus for the Fire Service, August 20, 1947",Report on Breathing Apparatus Design for the Fire Service,en,,1947/08/20,1947-08-20,1947-08-20,1947-08-20,,Fire departments|| Virginia,Text,official reports,20 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007135,"A Guide to Community Organization for Fire Safety, December, 1947","Federal President's Conference on Fire Prevention, Guide to Community Organization for Fire Safety written in December, 1947.",en,,1947/12,1947-12,1947-12,1947-12,,Fire departments|| Virginia,Text,programs (documents),12 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007136,"Report of the Continuing Committee of the President's Conference on Fire Prevention, Washington, D.C., May 13, 1948","Report of the Continuing Committee on the President's Conference on Fire Prevention, held to make the public more aware of fire prevention and safety, written on May 13, 1948.",en,,1948/05/13,1948-05-13,1948-05-13,1948-05-13,,Fire departments|| Virginia,Text,official reports,35 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007137,"Fire Effects of Bombing Attacks, November 1950","Report on the fire effects of bombing attacks, prepared for the National Security Resources Board by the Civil Defense Liaison Office, Office of the Secretary of Defense, November 1950",en,,1950/11,1950-11,1950-11,1950-11,,Fire departments|| Virginia,Text,official reports,49 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007138,"Speakers Kit, Fire Fighting for Householders, c. 1950s","Fire Fighting for Householders speakers' kit, put together by the Federal Civil Defense Administration.",en,,195X,195X,195X,1950,1959,Fire departments|| Virginia,Text,speeches (documents),40 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst007139,"Salem Fire Department Engine 00 Vehicle Description, Written c. 1969",Document concerning the King Midget engine that the Salem Fire Department purchased and modified the appearance of.,en,,1969?,1969?,1969?,1969,,Fire departments|| Virginia,Text,official reports,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
