basis_of_record,other_identifier,identifier,title,contributor,date,display_date,start_date,description,spatial,locality,decimalLatitude,decimalLongitude,Locality,Repository,license,rights_holder,recordId,references,visibility,type,format
PreservedSpecimen,Occurrence ID: 3ef6deff-c8bf-4b4b-8d6b-c83b7b90fac7,VTEC000007426,"Phyciodes tharos ((Drury, 1773))",C. A. Hopkins (recorded by),1977-07-10,1977-07-10,1977/07/10,lifeStage: Adult||preparations: pinned specimen,"Roanoke, Virginia, United States",0,37.285584,-80.048943,37.285584||-80.048943,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:3ef6deff-c8bf-4b4b-8d6b-c83b7b90fac7,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348806,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 1567c842-4b40-4e8f-8eb2-9b9be4d27cbf,VTEC000007427,Phyciodes sp.,AB (recorded by),1977-05-22,1977-05-22,1977/05/22,lifeStage: Adult||preparations: pinned specimen,"Sullivan, New York, United States",Hortonville; 41.764255 -75.030166,41.764255,-75.030166,41.764255||-75.030166,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:1567c842-4b40-4e8f-8eb2-9b9be4d27cbf,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348810,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: a6f17353-cd7d-4aab-8283-fe65fd35a9c1,VTEC000007428,"Phyciodes tharos ((Drury, 1773))",T. R. Bardinelli (recorded by),1976-10-26,1976-10-26,1976/10/26,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",0,37.1667,-80.3833,37.1667||-80.3833,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:a6f17353-cd7d-4aab-8283-fe65fd35a9c1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348813,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 9301f50b-9aaf-4222-b005-0e8a02d2c766,VTEC000007429,"Phyciodes tharos ((Drury, 1773))",T. Bailey (recorded by),1976-04-09,1976-04-09,1976/04/09,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",0,37.1667,-80.3833,37.1667||-80.3833,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:9301f50b-9aaf-4222-b005-0e8a02d2c766,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57348826,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: d244d4e2-fb96-4021-b871-e331f0f091c5,VTEC000007430,"Phyciodes tharos ((Drury, 1773))",C. R. Parker (recorded by),1976-08-23,1976-08-23,1976/08/23,lifeStage: Adult||preparations: pinned specimen,"Carroll, Virginia, United States",in field by New River at Fries bridge,36.689075,-80.93865,36.689075||-80.93865,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:d244d4e2-fb96-4021-b871-e331f0f091c5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57349785,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 263e5d75-7ee2-4899-b4fe-eabb88d1a863,VTEC000007431,"Phyciodes tharos ((Drury, 1773))",A. Beck (recorded by),1976-09-05,1976-09-05,1976/09/05,lifeStage: Adult||preparations: pinned specimen,"Halifax, North Carolina, United States",Lake Gaston; 36.535858 -78.0552,36.535858,-78.0552,36.535858||-78.0552,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:263e5d75-7ee2-4899-b4fe-eabb88d1a863,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57349794,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: ea0fa2b5-7deb-46b6-ac51-d10abf1d41aa,VTEC000007432,"Phyciodes tharos ((Drury, 1773))",A. Beck (recorded by),1976-09-04,1976-09-04,1976/09/04,lifeStage: Adult||preparations: pinned specimen,"Edgecombe, North Carolina, United States",Rocky Mount; 35.93821 -77.790534,35.93821,-77.790534,35.93821||-77.790534,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:ea0fa2b5-7deb-46b6-ac51-d10abf1d41aa,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57349796,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 9da19ad6-b2fa-4eec-830f-50a188d41a3a,VTEC000007433,"Phyciodes tharos ((Drury, 1773))",A. Beck (recorded by),1976-05-14,1976-05-14,1976/05/14,lifeStage: Adult||preparations: pinned specimen,"Nassau, New York, United States",Hempstead St. Pk.,40.706213,-73.61874,40.706213||-73.61874,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:9da19ad6-b2fa-4eec-830f-50a188d41a3a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57349800,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: fc5bcbef-7871-439a-aa47-b9556b28fc10,VTEC000007434,"Phyciodes tharos ((Drury, 1773))",A. Beck (recorded by),1976-05-14,1976-05-14,1976/05/14,lifeStage: Adult||preparations: pinned specimen,"Nassau, New York, United States",Hempsted St. Pk.,40.705761,-73.619068,40.705761||-73.619068,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:fc5bcbef-7871-439a-aa47-b9556b28fc10,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57349803,True,still image,image/tiff
PreservedSpecimen,Occurrence ID: 1f1fc568-b3a4-413d-897a-4280e85c4d9a,VTEC000007435,"Phyciodes tharos ((Drury, 1773))",P. J. Sieburth (recorded by),1978-09-03,1978-09-03,1978/09/03,lifeStage: Adult||preparations: pinned specimen,"Montgomery, Virginia, United States",Chicory Progress St. Blacksburg,37.240492,-80.422247,37.240492||-80.422247,Virginia Polytechnic Institute and State University. Department of Entomology,http://creativecommons.org/publicdomain/zero/1.0/,Virginia Polytechnic Institute and State University. Department of Entomology,urn:uuid:1f1fc568-b3a4-413d-897a-4280e85c4d9a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57349807,True,still image,image/tiff
